msa,violentcrime,murder,rape,robbery,aggravatedassault,propertycrime,burglary,theft,motorvehicletheft,state,city
"Decatur, AL M.S.A.",221.4,3.9,24.2,37.3,155.9,2354.9,573.8,1631.7,149.4,AL,Decatur
"Decatur, IL M.S.A.",400.0,5.6,38.1,117.2,239.1,2618.7,671.7,1869.8,77.2,IL,Decatur
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",449.0,3.9,29.0,61.5,354.6,2861.8,517.4,2152.7,191.7,FL,Daytona Beach
"Denver-Aurora-Lakewood, CO M.S.A.3, 4",362.3,3.8,63.6,84.8,210.0,,,,388.3,CO,Denver
"Des Moines-West Des Moines, IA M.S.A.",367.5,3.4,37.3,54.0,272.8,2349.8,525.3,1609.6,215.0,IA,Des Moines
"Detroit-Warren-Dearborn, MI M.S.A.",498.1,8.9,45.4,120.7,323.0,2008.4,425.3,1326.5,256.6,MI,Detroit
"Detroit-Dearborn-Livonia, MI M.D.",901.5,19.3,57.2,247.0,577.9,2935.8,700.9,1769.3,465.7,MI,Detroit
"Warren-Troy-Farmington Hills, MI M.D.",220.6,1.6,37.4,33.9,147.7,1371.0,235.8,1022.4,112.8,MI,Warren
"Dothan, AL M.S.A.",349.6,3.4,35.7,49.9,260.7,2554.0,641.4,1771.8,140.8,AL,Dothan
"Dover, DE M.S.A.",471.0,6.3,49.9,67.6,347.2,2598.5,366.1,2151.6,80.8,DE,Dover
"Dubuque, IA M.S.A.",186.5,5.2,33.0,28.9,119.5,2294.7,721.3,1499.2,74.2,IA,Dubuque
"Duluth, MN-WI M.S.A.",242.8,1.4,54.3,29.3,157.8,3171.0,558.8,2452.6,159.6,MN,Duluth
"East Stroudsburg, PA M.S.A.",191.1,1.2,36.9,62.3,90.7,2264.1,511.0,1696.3,56.8,PA,East Stroudsburg
"Eau Claire, WI M.S.A.",129.1,0.0,21.1,12.1,95.9,1669.1,278.7,1305.4,85.1,WI,Eau Claire
"El Centro, CA M.S.A.",414.9,1.1,16.1,72.8,324.9,3457.8,773.2,2330.7,353.8,CA,El Centro
"Elizabethtown-Fort Knox, KY M.S.A.",104.7,3.3,22.4,21.1,58.0,1232.2,272.0,904.2,56.0,KY,Elizabethtown
"Elkhart-Goshen, IN M.S.A.",400.1,2.0,24.6,63.6,309.9,1992.4,422.2,1398.7,171.5,IN,Elkhart
"Elmira, NY M.S.A.",182.1,2.3,30.9,48.1,100.8,1996.4,315.0,1635.6,45.8,NY,Elmira
"El Paso, TX M.S.A.",354.3,2.7,43.7,52.6,255.3,1825.1,220.8,1491.7,112.6,TX,El Paso
"Enid, OK M.S.A.",284.0,1.6,48.6,31.4,202.4,3163.0,731.1,2304.8,127.1,OK,Enid
"Erie, PA M.S.A.",234.4,4.0,33.8,61.6,135.0,2052.0,444.6,1540.8,66.6,PA,Erie
"Eugene, OR M.S.A.",329.7,3.6,43.1,56.6,226.4,3285.8,548.6,2498.8,238.3,OR,Eugene
"Evansville, IN-KY M.S.A.",336.6,2.5,34.8,80.4,218.8,2872.4,521.3,2188.0,163.1,IN,Evansville
"Fairbanks, AK M.S.A.",484.7,2.9,45.9,77.4,358.5,3946.4,458.9,3146.2,341.3,AK,Fairbanks
"Fargo, ND-MN M.S.A.",249.3,2.6,49.8,27.9,169.1,2403.4,451.8,1766.2,185.4,ND,Fargo
"Farmington, NM M.S.A.",443.0,4.1,91.9,45.1,301.9,2213.3,405.3,1631.7,176.4,NM,Farmington
"Flagstaff, AZ M.S.A.",362.6,2.2,61.3,36.0,263.1,2792.3,287.6,2441.3,63.4,AZ,Flagstaff
"Flint, MI M.S.A.",581.4,12.9,64.6,107.5,396.3,2485.7,707.2,1632.9,145.6,MI,Flint
"Florence-Muscle Shoals, AL M.S.A.",305.0,1.4,36.6,40.0,227.1,2442.4,588.4,1681.8,172.2,AL,Florence
"Fond du Lac, WI M.S.A.",214.3,1.0,51.1,12.8,149.4,1380.2,179.9,1146.3,54.1,WI,Fond du Lac
"Fort Collins, CO M.S.A.",199.1,2.1,27.4,21.1,148.4,2229.0,281.4,1819.4,128.2,CO,Fort Collins
"Fort Smith, AR-OK M.S.A.",446.0,3.2,46.9,52.3,343.6,3377.0,728.8,2476.4,171.8,AR,Fort Smith
"Fort Wayne, IN M.S.A.",288.0,6.5,30.5,122.2,128.8,2328.3,434.7,1782.3,111.3,IN,Fort Wayne
"Fresno, CA M.S.A.",537.3,6.1,32.5,136.9,361.8,3439.4,751.3,2196.6,491.5,CA,Fresno
"Gadsden, AL M.S.A.",532.3,3.9,63.0,83.4,382.0,3998.7,878.5,2848.7,271.5,AL,Gadsden
"Gainesville, FL M.S.A.",582.9,1.4,67.9,116.9,396.7,2790.5,473.6,2159.5,157.4,FL,Gainesville
"Gainesville, GA M.S.A.",188.8,2.6,22.2,35.6,128.4,1845.1,373.5,1328.8,142.9,GA,Gainesville
"Gettysburg, PA M.S.A.",135.6,0.0,34.4,13.8,87.5,983.9,243.8,705.7,34.4,PA,Gettysburg
"Glens Falls, NY M.S.A.4",170.5,0.8,67.9,9.5,92.4,,173.7,,21.3,NY,Glens Falls
"Goldsboro, NC M.S.A.",494.3,8.8,3.2,106.6,375.7,3604.3,1099.2,2337.7,167.4,NC,Goldsboro
"Grand Forks, ND-MN M.S.A.",243.8,2.9,60.5,26.3,154.1,2108.0,304.2,1655.6,148.2,ND,Grand Forks
"Grand Island, NE M.S.A.",215.2,0.0,59.6,15.2,140.3,2185.8,364.9,1699.3,121.6,NE,Grand Island
"Grand Junction, CO M.S.A.",327.6,1.3,85.1,25.5,215.7,2828.8,448.2,2209.7,170.9,CO,Grand Junction
"Grand Rapids-Wyoming, MI M.S.A.",329.0,1.7,75.1,59.8,192.3,1618.2,301.4,1236.4,80.4,MI,Grand Rapids
"Grants Pass, OR M.S.A.",243.2,8.3,30.8,42.7,161.3,2829.1,503.0,1959.6,366.5,OR,Grants Pass
"Great Falls, MT M.S.A.",250.6,7.3,23.0,35.1,185.2,3487.1,461.2,2856.5,169.5,MT,Great Falls
"Greeley, CO M.S.A.",270.6,1.8,47.0,25.3,196.5,1695.9,300.4,1260.7,134.8,CO,Greeley
"Green Bay, WI M.S.A.",196.6,1.3,25.0,24.7,145.7,1453.9,217.8,1177.3,58.8,WI,Green Bay
"Greensboro-High Point, NC M.S.A.",398.2,5.6,21.1,114.9,256.5,2968.6,760.0,2071.6,137.0,NC,Greensboro
"Greenville, NC M.S.A.",433.9,7.9,31.1,97.2,297.8,2817.8,687.1,2055.0,75.7,NC,Greenville
"Gulfport-Biloxi-Pascagoula, MS M.S.A.",233.3,6.7,36.8,67.1,122.7,3707.4,828.1,2665.8,213.5,MS,Gulfport
"Hagerstown-Martinsburg, MD-WV M.S.A.",260.7,4.2,20.7,68.1,167.7,2123.7,494.9,1515.0,113.7,MD,Hagerstown
"Hammond, LA M.S.A.",769.4,3.9,43.7,141.9,580.0,4770.9,1374.3,3086.2,310.3,LA,Hammond
"Hanford-Corcoran, CA M.S.A.",463.9,3.3,41.4,68.8,350.3,2607.6,532.7,1713.2,361.6,CA,Hanford
"Harrisonburg, VA M.S.A.",145.8,0.8,36.5,11.4,97.2,1555.7,302.3,1200.9,52.4,VA,Harrisonburg
"Hartford-West Hartford-East Hartford, CT M.S.A.",252.8,4.4,22.5,94.7,131.2,2175.4,325.4,1637.0,213.0,CT,Hartford
"Hattiesburg, MS M.S.A.",157.7,4.0,23.4,32.7,97.6,3024.9,790.6,2162.8,71.5,MS,Hattiesburg
"Hilton Head Island-Bluffton-Beaufort, SC M.S.A.",349.4,13.5,44.3,73.3,218.3,2403.8,497.8,1770.5,135.4,SC,Bluffton
"Hinesville, GA M.S.A.",304.4,1.2,10.7,60.9,231.6,2270.3,490.6,1656.8,122.9,GA,
"Homosassa Springs, FL M.S.A.",308.7,1.4,35.8,28.6,242.8,1438.8,301.5,1055.6,81.6,FL,Spring
"Houma-Thibodaux, LA M.S.A.",446.1,8.0,26.4,60.9,350.7,3443.6,651.9,2643.9,147.8,LA,Houma
"Houston-The Woodlands-Sugar Land, TX M.S.A.3",566.6,6.9,37.3,228.9,293.5,,596.8,,367.2,TX,Houston
"Huntsville, AL M.S.A.",485.0,6.1,48.2,102.2,328.5,2954.6,639.0,2086.4,229.1,AL,Huntsville
"Idaho Falls, ID M.S.A.",183.9,1.4,31.5,6.4,144.6,1822.8,342.1,1365.5,115.2,ID,Idaho Falls
"Indianapolis-Carmel-Anderson, IN M.S.A.",674.2,8.2,44.1,211.6,410.2,3207.8,703.3,2172.6,331.9,IN,Indianapolis
"Iowa City, IA M.S.A.",263.4,0.6,53.8,28.1,181.0,1981.6,359.5,1549.2,72.9,IA,Iowa City
"Jackson, MI M.S.A.",468.4,3.8,90.8,63.9,310.0,2271.9,370.7,1816.0,85.2,MI,Jackson
"Jackson, MS M.S.A.",359.4,11.6,31.0,152.7,164.1,2687.4,682.2,1778.0,227.2,MS,Jackson
"Jackson, TN M.S.A.",734.5,6.9,43.0,112.8,571.8,3067.1,848.1,2064.7,154.3,TN,Jackson
"Jacksonville, FL M.S.A.",493.7,7.5,44.4,110.1,331.7,2951.5,553.4,2203.5,194.5,FL,Jacksonville
"Jacksonville, NC M.S.A.",174.6,4.2,25.8,34.3,110.2,2539.2,663.9,1799.8,75.4,NC,Jacksonville
"Janesville-Beloit, WI M.S.A.",238.7,3.7,29.1,47.1,158.7,2347.4,392.4,1854.0,101.0,WI,Janesville
"Jefferson City, MO M.S.A.",258.7,1.3,31.8,38.4,187.2,1919.1,346.0,1469.9,103.2,MO,Jefferson City
