,unitid,opeid,opeid6,instnm,city,stabbr,zip,cip11bachl,violentcrime,propertycrime,state,crimescore
505,195003,280600,2806,Rochester Institute of Technology,Rochester,NY,14623-5603,2.0,280.7,2107.6,NY,828.77
507,195720,282100,2821,Saint John Fisher College,Rochester,NY,14618-3597,2.0,280.7,2107.6,NY,828.77
127,130590,141400,1414,Trinity College,Hartford,CT,06106-3100,1.0,252.8,2175.4,CT,829.58
786,440828,321001,3210,Oregon State University-Cascades Campus,Bend,OR,97701,2.0,176.8,2364.1,OR,832.9899999999999
357,153144,185400,1854,Coe College,Cedar Rapids,IA,52402-5092,1.0,189.5,2350.4,IA,837.77
360,459620,10732935,7329,ITT Technical Institute-Cedar Rapids,Cedar Rapids,IA,52404,1.0,189.5,2350.4,IA,837.77
359,154013,188000,1880,Mount Mercy University,Cedar Rapids,IA,52402-4797,1.0,189.5,2350.4,IA,837.77
358,153418,458604,4586,Kaplan University-Cedar Rapids Campus,Cedar Rapids,IA,52404,2.0,189.5,2350.4,IA,837.77
383,363439,493402,4934,Daymar College-Bowling Green,Bowling Green,KY,42101,1.0,173.4,2405.6,KY,843.06
382,157951,200200,2002,Western Kentucky University,Bowling Green,KY,42101-1000,2.0,173.4,2405.6,KY,843.06
144,131496,144500,1445,Georgetown University,Washington,DC,20057-0001,1.0,356.0,2027.9,DC,857.5699999999999
140,131450,144300,1443,Gallaudet University,Washington,DC,20002-3695,2.0,356.0,2027.9,DC,857.5699999999999
132,131159,143400,1434,American University,Washington,DC,20016-8001,1.0,356.0,2027.9,DC,857.5699999999999
134,131283,143700,1437,Catholic University of America,Washington,DC,20064,1.0,356.0,2027.9,DC,857.5699999999999
154,459994,145900,1459,Strayer University-Global Region,Washington,DC,20005,2.0,356.0,2027.9,DC,857.5699999999999
142,131469,144400,1444,George Washington University,Washington,DC,20052,2.0,356.0,2027.9,DC,857.5699999999999
138,131399,144100,1441,University of the District of Columbia,Washington,DC,20008,1.0,356.0,2027.9,DC,857.5699999999999
146,131520,144800,1448,Howard University,Washington,DC,20059-0001,1.0,356.0,2027.9,DC,857.5699999999999
148,131803,145900,1459,Strayer University-District of Columbia,Washington,DC,20005,2.0,356.0,2027.9,DC,857.5699999999999
150,131876,146000,1460,Trinity Washington University,Washington,DC,20017-1094,1.0,356.0,2027.9,DC,857.5699999999999
152,384412,3218300,32183,University of the Potomac-Washington DC Campus,Washington,DC,20005,2.0,356.0,2027.9,DC,857.5699999999999
